d,sigma,epsilon,alpha_1,rho,maximizing_m,gamma,status,log_C,log10_h,h_min,h_approx,alpha_max_refinement_difference,log10_h_refinement_difference
3,0.42044820762685725,0.1,0.15693275148102495,0.2935403278238936,3,1.7683693743295543,finite,4.123202645544867,1.57978359661681,38,3.800000e+1,0.0,0.0
4,0.42044820762685725,0.1,0.15693275148102495,0.4274617113481318,4,0.7736037248816122,finite,2.658119366752944,2.7853298350107667,610,6.100000e+2,0.0,0.0
5,0.42044820762685725,0.1,0.15693275148102495,0.5544350510657852,5,0.4254548140882313,finite,2.3298870724723657,4.72872703365879,53546,5.354600e+4,0.0,0.0
6,0.42044820762685725,0.1,0.15693275148102495,0.6753453515836471,6,0.24389327723688745,finite,2.222360128393417,8.05745350238068,114144109,1.141441e+8,2.7755575615628914e-17,0.0
7,0.42044820762685725,0.1,0.15693275148102495,0.7909046541379487,7,0.1309203946695311,finite,2.188086768789428,14.896640164686652,,7.882068e+14,2.7755575615628914e-17,0.0
8,0.42044820762685725,0.1,0.15693275148102495,0.9016966677658108,8,0.05317671221118789,finite,2.184814244244382,36.64861344791711,,4.452598e+36,2.7755575615628914e-17,0.0
3,0.5,0.1,0.18215189949360305,0.3340384367219483,3,1.5819139763866803,finite,3.9821887549602097,1.7323937598229684,54,5.400000e+1,1.942890293094024e-16,0.0
4,0.5,0.1,0.18215189949360305,0.48273438431012683,4,0.662916948110448,finite,2.6605038008534714,3.2516382204482115,1785,1.785000e+3,1.942890293094024e-16,0.0
5,0.5,0.1,0.18215189949360305,0.6219974899948922,5,0.3425096681815204,finite,2.3798541581231865,5.9372269275963205,865420,8.654200e+5,1.942890293094024e-16,0.0
6,0.5,0.1,0.18215189949360305,0.7532540446759539,6,0.17605695079267752,finite,2.2988085213713774,11.350644474908218,224204577362,2.242046e+11,1.942890293094024e-16,0.0
7,0.5,0.1,0.18215189949360305,0.8776080155147132,7,0.07286426490617104,finite,2.2828176201103703,27.330476718180545,,2.140310e+27,1.942890293094024e-16,5.3290705182007514e-14
8,0.5,0.1,0.18215189949360305,0.9959352277505101,8,0.002093136670888381,finite,2.2936206868293536,953.6437995813886,,4.403516e+953,1.1379786002407855e-15,1.8496848497306928e-09
3,0.5946035575013605,0.1,0.20983299572599365,0.37591885502009964,3,1.4115068162135527,finite,3.87350066891499,1.9030899869919433,80,8.000000e+1,0.0,0.0
4,0.5946035575013605,0.1,0.20983299572599365,0.538644788029851,4,0.5631640498263125,finite,2.686938640325192,3.847819347295239,7044,7.044000e+3,0.0,0.0
5,0.5946035575013605,0.1,0.20983299572599365,0.6890631630775682,5,0.2686459305201524,finite,2.4520867016767185,7.6864284552142434,48576750,4.857675e+7,1.1102230246251565e-16,0.0
6,0.5946035575013605,0.1,0.20983299572599365,0.8293330385270364,6,0.11627256187972572,finite,2.396887312921662,17.55319484451532,,3.574332e+17,1.1102230246251565e-16,0.0
7,0.5946035575013605,0.1,0.20983299572599365,0.9610608563028101,7,0.0221667844827807,finite,2.3988417436924987,92.11095699653293,,1.291091e+92,1.1102230246251565e-16,0.0
8,0.5946035575013605,0.1,0.20983299572599365,1.0854799145856886,8,-0.0421510761065456,no_guarantee,,,,,1.1102230246251565e-16,
3,0.7071067811865476,0.1,0.23952818016230223,0.4178680240768113,3,1.258880729313413,finite,3.799885002303991,2.107209969647868,128,1.280000e+2,2.7755575615628914e-17,0.0
4,0.7071067811865476,0.1,0.23952818016230223,0.5933101796054596,4,0.47517941829623167,finite,2.738276257880025,4.607143935528615,40471,4.047100e+4,2.7755575615628914e-17,0.0
5,0.7071067811865476,0.1,0.23952818016230223,0.7533264319442579,5,0.20432647243331226,finite,2.5465451819253495,10.306792337532647,20267133935,2.026713e+10,2.7755575615628914e-17,0.0
6,0.7071067811865476,0.1,0.23952818016230223,0.9009888431170101,6,0.06478187410833015,finite,2.5159134172229662,32.302975837761366,,2.008981e+32,2.7755575615628914e-17,0.0
7,0.7071067811865476,0.1,0.23952818016230223,1.0384955761412593,7,-0.021081571002877008,no_guarantee,,,,,2.7755575615628914e-17,
8,0.7071067811865476,0.1,0.23952818016230223,1.1674811810600123,8,-0.07957643445138725,no_guarantee,,,,,2.7755575615628914e-17,
3,0.8408964152537145,0.1,0.2705404150320717,0.4584542978360885,3,1.1251501725643849,finite,3.7626142710436206,2.342422680822206,220,2.200000e+2,0.0,0.0
4,0.8408964152537145,0.1,0.2705404150320717,0.6448661397930489,4,0.3993333439417638,finite,2.8140901251037196,5.564634112256534,366973,3.669730e+5,0.0,0.0
5,0.8408964152537145,0.1,0.2705404150320717,0.8126839856131979,5,0.14961681472439703,finite,2.6619479254239726,14.410608186633612,,2.573998e+14,2.7755575615628914e-17,7.105427357601002e-15
6,0.8408964152537145,0.1,0.2705404150320717,0.9660276745986673,6,0.021475072918374746,finite,2.6539920234790824,100.23780124026337,,1.729025e+100,2.7755575615628914e-17,0.0
7,0.8408964152537145,0.1,0.2705404150320717,1.107736434442458,7,-0.057105145380079,no_guarantee,,,,,2.7755575615628914e-17,
8,0.8408964152537145,0.1,0.2705404150320717,1.2398588325060318,8,-0.11048687344958606,no_guarantee,,,,,2.7755575615628914e-17,
3,1.0,0.1,0.30195774054895574,0.4963187597896158,3,1.0106611084289416,finite,3.7612720092643017,2.6063813651106047,404,4.040000e+2,0.0,0.0
4,1.0,0.1,0.30195774054895574,0.6917259855899413,4,0.33548266314309994,finite,2.9126902956196674,6.751363259635672,5641093,5.641093e+6,0.0,0.0
